day,student_id
0,4918019237946664
0,0268123125014561
0,5638000086442063
0,8173287156660510
0,5452208293824337
0,0128159984365028
0,2941181132441298
0,1872294137456429
0,8500291839744163
0,1152488858125700
0,2805869382240836
0,5722527323275738
0,2221840792120630
0,6343307122694280
0,0205128931454511
0,4622841140661568
0,4084526125393158
0,2067652621641803
0,5789922626481469
0,8731598612753501
0,1861569432491791
0,1152488858125700
0,2941181132441298
0,5865296737487865
0,2067652621641803
0,8500291839744163
0,4369342612416584
0,0981185865929505
0,5865296737487865
0,5091964086508391
0,2221840792120630
0,2941181132441298
0,5722527323275738
0,2805869382240836
0,5091964086508391
0,4163106774159544
0,5789922626481469
0,4918019237946664
0,3171429184643633
0,1410234424462815
0,5865296737487865
0,5638000086442063
0,0128159984365028
0,0435680170370022
0,8500291839744163
0,1152488858125700
0,3565560493412354
0,8173287156660510
0,2221840792120630
0,2039530104244654
0,5452208293824337
0,3171429184643633
0,4918019237946664
0,4622841140661568
0,4163106774159544
0,4358547636367274
0,0435680170370022
0,5789922626481469
0,2805869382240836
0,5091964086508391
0,4369342612416584
0,0268123125014561
0,0205128931454511
0,2067652621641803
0,5452208293824337
0,0981185865929505
0,6343307122694280
0,4918019237946664
0,2805869382240836
0,3565560493412354
0,5638000086442063
0,8173287156660510
0,7427462519911576
0,2444039047599647
0,8731598612753501
0,3171429184643633
0,8500291839744163
0,0128159984365028
0,5433413907400310
0,0435680170370022
0,0268123125014561
0,1410234424462815
0,8173287156660510
0,8245474944854967
0,5146744903584274
0,5452208293824337
0,1861569432491791
0,5865296737487865
0,1152488858125700
0,4358547636367274
0,8500291839744163
0,4163106774159544
0,0268123125014561
0,0981185865929505
0,5789922626481469
0,2941181132441298
0,1872294137456429
0,5433413907400310
0,4622841140661568
0,0205128931454511
0,4163106774159544
0,8245474944854967
0,8173287156660510
0,8500291839744163
0,5865296737487865
0,1410234424462815
0,4918019237946664
0,0435680170370022
0,0268123125014561
0,2221840792120630
0,8245474944854967
0,8173287156660510
0,2067652621641803
0,1872294137456429
0,1152488858125700
0,5789922626481469
0,2941181132441298
0,1410234424462815
0,5789922626481469
0,3171429184643633
0,0981185865929505
0,5638000086442063
0,2805869382240836
0,2221840792120630
0,5146744903584274
0,7427462519911576
0,0435680170370022
0,4622841140661568
0,0837616283430169
0,5865296737487865
0,2444039047599647
0,4663338109910450
0,5146744903584274
0,5789922626481469
0,3063458258127816
0,0205128931454511
0,4369342612416584
0,2067652621641803
0,1410234424462815
0,4918019237946664
0,8173287156660510
0,4163106774159544
0,5452208293824337
0,3565560493412354
0,5091964086508391
0,3171429184643633
0,2039530104244654
0,4358547636367274
0,5638000086442063
0,8245474944854967
0,0435680170370022
0,7427462519911576
0,4918019237946664
0,2444039047599647
0,1872294137456429
0,8173287156660510
0,2039530104244654
0,2941181132441298
0,3171429184643633
